zip3,latitude,longitude,zcta_count
593,46.385877,-105.568588,30
594,47.788607,-111.229640,61
595,48.389351,-109.120753,23
596,46.653601,-111.732152,19
597,45.462218,-112.339487,42
598,46.971612,-114.201185,50
599,48.370630,-114.580480,27
600,42.288781,-88.155555,65
601,42.013197,-88.477397,72
602,42.045076,-87.691327,4
603,41.889826,-87.799992,4
604,41.382550,-88.104060,79
605,41.682527,-88.543255,56
606,41.829634,-87.677533,56
607,41.987292,-87.798009,4
608,41.720385,-87.709831,4
609,40.797625,-87.924752,56
610,42.172095,-89.586211,66
611,42.280579,-89.081166,11
612,41.488633,-90.308882,44
613,41.346958,-89.182508,62
614,40.826874,-90.419967,73
615,40.688736,-89.715510,46
616,40.700866,-89.621559,12
617,40.527230,-88.894787,53
618,40.108516,-88.156392,58
619,39.651872,-88.191064,30
620,39.129392,-89.991865,75
622,38.406580,-89.722715,74
623,39.998522,-91.017631,52
624,39.033171,-88.189972,60
625,39.641727,-89.200795,51
626,39.848965,-90.004978,57
627,39.796665,-89.656751,8
628,38.354146,-88.641316,86
629,37.547787,-88.897936,78
630,38.364629,-90.812324,57
631,38.631159,-90.329132,46
633,39.015809,-91.122579,45
634,39.920566,-91.781455,40
635,40.199317,-92.612065,33
636,37.614943,-90.641902,34
637,37.366958,-89.806429,37
638,36.558816,-89.733093,45
639,36.846332,-90.619001,29
640,39.073260,-94.107368,63
641,39.138651,-94.570921,51
644,40.135882,-94.696418,70
645,39.757772,-94.820364,6
646,39.891392,-93.552929,54
647,38.055326,-94.148050,46
648,36.932216,-94.346539,34
650,38.453267,-92.229910,54
651,38.526439,-92.187980,2
652,39.205153,-92.389237,46
653,38.710789,-93.253262,31
654,37.650859,-91.766505,28
655,37.619231,-91.876553,31
656,37.088701,-93.007051,70
657,37.094456,-92.891849,74
658,37.223760,-93.300466,9
660,38.827948,-95.124925,68
661,39.122403,-94.750821,12
662,38.958497,-94.730822,25
664,39.368398,-96.102018,35
665,39.355549,-96.123744,43
666,39.063320,-95.756614,18
667,37.633190,-95.219210,51
668,38.361119,-96.388715,35
669,39.772647,-97.861087,34
670,37.481745,-97.709072,58
671,37.500919,-97.912510,42
672,37.697409,-97.325477,28
673,37.233295,-95.799293,27
674,38.979952,-97.795783,57
675,38.243438,-98.988292,53
676,39.334898,-99.484014,45
677,39.338778,-101.165474,28
678,37.897783,-100.830241,39
679,37.165469,-101.396938,6
680,41.543737,-96.457546,55
681,41.249906,-96.043255,38
683,40.414907,-96.863229,70
684,40.543573,-96.651896,56
685,40.830240,-96.674253,23
686,41.555928,-97.696434,42
687,42.428217,-98.184964,73
688,41.321437,-99.128747,64
689,40.336549,-98.903974,55
690,40.362031,-100.989039,26
691,41.397668,-101.569042,44
692,42.665416,-100.626136,11
693,42.292647,-102.827474,29
700,29.736151,-90.056802,45
701,30.027345,-89.933006,22
703,29.641327,-90.685263,34
704,30.649562,-90.249253,39
705,30.198222,-92.236735,61
706,30.356013,-93.226133,39
707,30.559231,-91.206543,58
708,30.440995,-91.102886,21
710,32.447012,-93.398710,53
711,32.452045,-93.750487,15
712,32.569568,-91.957224,51
713,31.428726,-91.880667,42
714,31.560383,-92.838346,59
716,33.607960,-91.760114,35
717,33.477247,-92.787150,29
718,33.643268,-93.826256,35
719,34.399625,-93.609473,37
720,34.875298,-91.924896,75
721,34.905398,-92.077262,60
722,34.699233,-92.365166,12
723,35.073819,-90.586352,58
724,36.035456,-90.755773,60
725,36.011173,-91.806164,55
726,36.141090,-92.935109,49
727,36.109012,-94.041515,40
728,35.309762,-93.322463,35
729,35.291919,-94.085818,35
730,35.298875,-97.831340,85
731,35.446051,-97.503268,43
734,34.200174,-97.153030,33
735,34.520061,-98.800285,48
736,35.510279,-99.333558,33
737,36.415823,-98.206740,49
738,36.495045,-99.539730,19
739,36.743121,-101.670531,16
740,36.339127,-96.204037,67
741,36.139734,-95.944874,29
743,36.547752,-95.028231,30
744,35.636774,-95.448767,43
745,34.657916,-95.668872,39
746,36.703201,-97.071275,18
747,34.016799,-95.437582,34
748,35.156366,-96.657111,47
749,35.232080,-94.705616,32
750,33.228414,-96.729218,62
751,32.474322,-96.321458,52
752,32.792050,-96.802172,50
753,32.813992,-96.842808,1
754,33.369600,-95.680870,74
755,33.303688,-94.464191,24
756,32.489024,-94.580306,45
757,32.233599,-95.364863,40
758,31.442454,-95.663080,28
759,31.272318,-94.297047,44
760,32.597956,-97.545693,60
761,32.768158,-97.378969,36
